fiscal_year,dept_id,dept_name,category_id,category_name,budget_allocated,actual_spend,is_partial_year,variance_amount,variance_pct
2022,DEPT-07,Information Technology,CONTR,Contracted Services,6354.5,6593.9,False,239.4,3.77
2023,DEPT-07,Information Technology,PERS,Personnel & Compensation,73357.1,69186.8,False,-4170.3,-5.68
2023,DEPT-07,Information Technology,OPS,Operating Expenses,25692.4,24135.0,False,-1557.4,-6.06
2023,DEPT-07,Information Technology,CAP,Capital Outlay,16530.2,15515.2,False,-1015.0,-6.14
2023,DEPT-07,Information Technology,GRANTS,Grants & Subsidies,11218.7,9922.3,False,-1296.4,-11.56
2023,DEPT-07,Information Technology,CONTR,Contracted Services,6623.2,6983.8,False,360.6,5.44
2024,DEPT-07,Information Technology,PERS,Personnel & Compensation,81337.6,69527.4,False,-11810.2,-14.52
2024,DEPT-07,Information Technology,OPS,Operating Expenses,29093.7,26754.0,False,-2339.7,-8.04
2024,DEPT-07,Information Technology,CAP,Capital Outlay,18085.8,17949.6,False,-136.2,-0.75
2024,DEPT-07,Information Technology,GRANTS,Grants & Subsidies,11713.1,11290.8,False,-422.3,-3.61
2024,DEPT-07,Information Technology,CONTR,Contracted Services,7062.0,7380.7,False,318.7,4.51
2025,DEPT-07,Information Technology,PERS,Personnel & Compensation,93981.7,98024.3,False,4042.6,4.3
2025,DEPT-07,Information Technology,OPS,Operating Expenses,31843.9,30044.6,False,-1799.3,-5.65
2025,DEPT-07,Information Technology,CAP,Capital Outlay,18450.2,17709.5,False,-740.7,-4.01
2025,DEPT-07,Information Technology,GRANTS,Grants & Subsidies,13139.1,12999.5,False,-139.6,-1.06
2025,DEPT-07,Information Technology,CONTR,Contracted Services,8405.4,8336.9,False,-68.5,-0.81
2026,DEPT-07,Information Technology,PERS,Personnel & Compensation,100501.6,51194.0,True,-49307.6,-49.06
2026,DEPT-07,Information Technology,OPS,Operating Expenses,33454.1,16807.2,True,-16646.9,-49.76
2026,DEPT-07,Information Technology,CAP,Capital Outlay,20655.4,10605.9,True,-10049.5,-48.65
2026,DEPT-07,Information Technology,GRANTS,Grants & Subsidies,14091.8,7331.0,True,-6760.8,-47.98
2026,DEPT-07,Information Technology,CONTR,Contracted Services,8666.1,5246.3,True,-3419.8,-39.46
2019,DEPT-08,Parks & Recreation,PERS,Personnel & Compensation,23144.5,20424.0,False,-2720.5,-11.75
2019,DEPT-08,Parks & Recreation,OPS,Operating Expenses,9526.6,9367.5,False,-159.1,-1.67
2019,DEPT-08,Parks & Recreation,CAP,Capital Outlay,5030.2,4851.8,False,-178.4,-3.55
2019,DEPT-08,Parks & Recreation,GRANTS,Grants & Subsidies,3484.9,3213.9,False,-271.0,-7.78
2019,DEPT-08,Parks & Recreation,CONTR,Contracted Services,2106.2,2020.2,False,-86.0,-4.08
2020,DEPT-08,Parks & Recreation,PERS,Personnel & Compensation,20760.8,20010.8,False,-750.0,-3.61
2020,DEPT-08,Parks & Recreation,OPS,Operating Expenses,8891.0,8142.4,False,-748.6,-8.42
2020,DEPT-08,Parks & Recreation,CAP,Capital Outlay,5301.5,5091.6,False,-209.9,-3.96
2020,DEPT-08,Parks & Recreation,GRANTS,Grants & Subsidies,3453.1,3072.9,False,-380.2,-11.01
2020,DEPT-08,Parks & Recreation,CONTR,Contracted Services,1715.5,1495.5,False,-220.0,-12.82
2021,DEPT-08,Parks & Recreation,PERS,Personnel & Compensation,22037.6,20753.5,False,-1284.1,-5.83
2021,DEPT-08,Parks & Recreation,OPS,Operating Expenses,8165.4,7766.6,False,-398.8,-4.88
2021,DEPT-08,Parks & Recreation,CAP,Capital Outlay,5077.6,4508.5,False,-569.1,-11.21
2021,DEPT-08,Parks & Recreation,GRANTS,Grants & Subsidies,3449.5,2998.2,False,-451.3,-13.08
2021,DEPT-08,Parks & Recreation,CONTR,Contracted Services,2101.4,1814.5,False,-286.9,-13.65
2022,DEPT-08,Parks & Recreation,PERS,Personnel & Compensation,23936.9,23257.1,False,-679.8,-2.84
2022,DEPT-08,Parks & Recreation,OPS,Operating Expenses,7980.6,7381.0,False,-599.6,-7.51
2022,DEPT-08,Parks & Recreation,CAP,Capital Outlay,4975.4,5044.8,False,69.4,1.39
2022,DEPT-08,Parks & Recreation,GRANTS,Grants & Subsidies,3625.0,3387.6,False,-237.4,-6.55
2022,DEPT-08,Parks & Recreation,CONTR,Contracted Services,2143.7,2028.1,False,-115.6,-5.39
2023,DEPT-08,Parks & Recreation,PERS,Personnel & Compensation,24601.8,22228.6,False,-2373.2,-9.65
2023,DEPT-08,Parks & Recreation,OPS,Operating Expenses,8517.2,8007.4,False,-509.8,-5.99
2023,DEPT-08,Parks & Recreation,CAP,Capital Outlay,5267.2,4852.4,False,-414.8,-7.88
2023,DEPT-08,Parks & Recreation,GRANTS,Grants & Subsidies,4104.5,4154.2,False,49.7,1.21
2023,DEPT-08,Parks & Recreation,CONTR,Contracted Services,2121.8,1883.6,False,-238.2,-11.23
2024,DEPT-08,Parks & Recreation,PERS,Personnel & Compensation,24108.0,22255.5,False,-1852.5,-7.68
2024,DEPT-08,Parks & Recreation,OPS,Operating Expenses,8965.2,8568.9,False,-396.3,-4.42
2024,DEPT-08,Parks & Recreation,CAP,Capital Outlay,5335.0,4452.6,False,-882.4,-16.54
2024,DEPT-08,Parks & Recreation,GRANTS,Grants & Subsidies,3448.3,3247.6,False,-200.7,-5.82
2024,DEPT-08,Parks & Recreation,CONTR,Contracted Services,2186.7,2185.3,False,-1.4,-0.06
2025,DEPT-08,Parks & Recreation,PERS,Personnel & Compensation,20464.5,18696.4,False,-1768.1,-8.64
2025,DEPT-08,Parks & Recreation,OPS,Operating Expenses,8933.2,8148.0,False,-785.2,-8.79
2025,DEPT-08,Parks & Recreation,CAP,Capital Outlay,5532.9,4936.8,False,-596.1,-10.77
2025,DEPT-08,Parks & Recreation,GRANTS,Grants & Subsidies,3712.7,3508.8,False,-203.9,-5.49
2025,DEPT-08,Parks & Recreation,CONTR,Contracted Services,2165.3,1977.2,False,-188.1,-8.69
2026,DEPT-08,Parks & Recreation,PERS,Personnel & Compensation,24304.8,11761.7,True,-12543.1,-51.61
2026,DEPT-08,Parks & Recreation,OPS,Operating Expenses,9114.4,5336.8,True,-3777.6,-41.45
2026,DEPT-08,Parks & Recreation,CAP,Capital Outlay,5209.9,2721.0,True,-2488.9,-47.77
2026,DEPT-08,Parks & Recreation,GRANTS,Grants & Subsidies,3736.2,1981.7,True,-1754.5,-46.96
2026,DEPT-08,Parks & Recreation,CONTR,Contracted Services,2283.2,1154.3,True,-1128.9,-49.44
